participant.ID,gender,experiment,exp.level,age,treatment,score,pref,pref.spell,pos.baseline,neg.baseline,pos.post,neg.post,motivation
149,Cisgender woman,waiting,experienced,17,loser,-24,1,wait,32,12,37,10,4
150,Cisgender woman,waiting,inexperienced,18,loser,-24,1,wait,25,13,16,15,2
151,Cisgender woman,waiting,experienced,18,winner,19,0,start,29,14,35,11,4
152,Cisgender woman,waiting,inexperienced,18,loser,-25,0,start,31,31,31,27,3
153,Cisgender woman,waiting,inexperienced,18,winner,17,0,start,27,26,32,17,4
154,Cisgender woman,waiting,inexperienced,18,loser,-28,1,wait,40,21,30,32,1
155,Cisgender woman,waiting,inexperienced,19,winner,12,0,start,27,19,43,22,4
156,Cisgender woman,waiting,inexperienced,18,loser,-25,1,wait,24,13,30,21,4
157,Cisgender woman,waiting,experienced,18,winner,24,1,wait,20,22,23,20,3
158,Cisgender woman,waiting,inexperienced,20,loser,-14,1,wait,14,15,15,10,3
159,Cisgender woman,waiting,experienced,17,winner,25,0,start,16,12,20,12,3
160,Cisgender woman,waiting,experienced,17,loser,-27,0,start,32,13,37,13,4
161,Cisgender man,waiting,experienced,18,winner,25,0,start,25,10,18,10,2
162,Cisgender man,waiting,experienced,17,loser,-14,1,wait,28,14,27,22,4
163,Cisgender man,waiting,experienced,19,winner,25,1,wait,28,16,39,15,5
164,Cisgender woman,waiting,inexperienced,19,winner,11,0,start,18,12,28,13,4
165,Nonbinary,waiting,experienced,17,loser,-23,1,wait,21,13,29,14,4
166,Cisgender woman,waiting,inexperienced,17,loser,-29,1,wait,31,14,33,23,3
167,Cisgender woman,waiting,inexperienced,18,winner,8,0,start,28,10,36,19,5
168,Cisgender woman,waiting,inexperienced,18,loser,-22,0,start,25,21,26,17,4
169,Cisgender woman,waiting,inexperienced,17,winner,21,1,wait,33,11,45,17,5
170,Cisgender man,waiting,experienced,18,winner,25,0,start,35,19,41,20,4
171,Cisgender woman,waiting,inexperienced,17,loser,-32,0,start,39,16,43,20,5
172,Cisgender man,waiting,inexperienced,18,winner,24,0,start,41,20,48,21,5
173,Cisgender woman,waiting,inexperienced,18,loser,-16,0,start,22,15,20,14,3
174,Cisgender woman,waiting,inexperienced,19,winner,13,0,start,19,14,24,29,4
175,Cisgender woman,waiting,experienced,18,loser,-23,0,start,24,19,19,18,1
176,Cisgender woman,waiting,inexperienced,18,winner,6,0,start,22,18,22,10,3
177,Cisgender woman,waiting,experienced,17,loser,-22,1,wait,24,14,32,13,4
178,Cisgender man,waiting,experienced,18,winner,22,0,start,37,10,43,10,5
179,Cisgender woman,waiting,experienced,17,loser,-20,0,start,27,11,27,13,4
180,Cisgender woman,waiting,inexperienced,18,winner,22,0,start,27,12,32,10,4
181,Cisgender man,waiting,experienced,17,loser,-13,1,wait,39,16,39,19,4
182,Cisgender woman,waiting,inexperienced,18,winner,21,0,start,32,19,31,14,3
183,Cisgender man,waiting,inexperienced,18,loser,-18,0,start,34,12,18,12,1
184,Cisgender woman,waiting,experienced,18,winner,17,0,start,29,15,31,16,3
185,Cisgender woman,waiting,experienced,17,loser,-5,1,wait,32,23,39,21,5
186,Cisgender woman,waiting,experienced,17,winner,22,0,start,34,12,45,14,4
187,Cisgender woman,waiting,experienced,18,loser,-20,0,start,22,13,22,16,3
188,Cisgender woman,waiting,experienced,18,winner,18,0,start,25,16,26,13,4
189,Cisgender woman,waiting,experienced,18,loser,-22,0,start,31,14,29,11,4
190,Cisgender woman,waiting,inexperienced,19,winner,16,0,start,35,24,38,18,5
191,Cisgender man,waiting,experienced,18,loser,-10,1,wait,16,22,16,16,2
192,Cisgender woman,waiting,experienced,18,winner,24,0,start,35,13,38,13,5
193,Cisgender woman,waiting,experienced,17,loser,-21,1,wait,29,14,26,18,4
194,Cisgender woman,waiting,experienced,18,loser,-25,1,wait,42,17,36,22,5
195,Cisgender woman,waiting,inexperienced,18,winner,11,0,start,11,11,16,10,4
196,Cisgender woman,waiting,inexperienced,18,loser,-22,1,wait,19,14,20,16,3
197,Cisgender woman,waiting,inexperienced,18,winner,1,0,start,18,18,30,15,4
198,Cisgender man,waiting,experienced,18,loser,-21,1,wait,28,11,21,16,3
199,Cisgender woman,waiting,inexperienced,18,winner,22,0,start,26,19,39,21,4
200,Cisgender man,waiting,inexperienced,17,loser,-25,0,start,32,13,32,18,3
201,Cisgender woman,waiting,experienced,17,winner,22,0,start,30,22,38,16,4
202,Cisgender man,waiting,inexperienced,18,loser,-18,1,wait,26,11,34,10,5
203,Cisgender woman,waiting,inexperienced,20,winner,5,0,start,31,16,31,17,4
204,Cisgender woman,waiting,inexperienced,18,loser,-22,1,wait,25,20,24,15,3
205,Cisgender man,waiting,experienced,17,winner,23,0,start,33,10,47,15,4
206,Gender fluid,waiting,experienced,18,winner,6,0,start,20,13,25,10,3
207,Cisgender man,waiting,inexperienced,18,loser,-22,1,wait,29,11,30,12,4
208,Cisgender woman,waiting,inexperienced,17,winner,16,0,start,33,11,37,12,4
209,Cisgender woman,waiting,inexperienced,18,winner,7,0,start,14,10,29,12,4
210,Cisgender woman,waiting,experienced,18,loser,-28,1,wait,17,17,10,16,1
211,Cisgender woman,waiting,experienced,17,loser,-12,1,wait,15,15,12,18,3
212,Prefer not to say,waiting,experienced,18,winner,21,0,start,27,20,30,26,3
213,Cisgender woman,waiting,inexperienced,18,loser,-28,1,wait,22,13,22,11,3
214,Cisgender woman,waiting,experienced,18,winner,23,0,start,26,13,21,10,3
215,Cisgender woman,waiting,inexperienced,18,loser,-24,1,wait,23,18,37,29,4
216,Cisgender woman,waiting,inexperienced,18,winner,25,0,start,27,16,43,17,5
217,Cisgender woman,waiting,experienced,18,loser,-23,0,start,18,11,18,10,2
218,Cisgender woman,waiting,inexperienced,24,loser,-32,0,start,44,13,47,21,5
219,Cisgender woman,waiting,inexperienced,18,winner,11,0,start,24,16,33,10,4
220,Cisgender woman,waiting,inexperienced,20,winner,11,0,start,27,14,21,19,2
221,Cisgender woman,waiting,inexperienced,18,loser,-26,1,wait,28,13,26,17,1
222,Cisgender woman,waiting,experienced,18,winner,20,0,start,25,19,32,15,4
223,Cisgender woman,waiting,experienced,18,loser,-16,1,wait,30,14,29,14,3
224,Prefer not to say,waiting,inexperienced,18,loser,-27,1,wait,31,19,28,24,4
225,Cisgender man,waiting,inexperienced,17,winner,20,0,start,39,13,50,16,5
226,Nonbinary,waiting,experienced,26,loser,-23,0,start,29,15,16,15,1
227,Cisgender woman,waiting,experienced,18,winner,20,0,start,21,17,23,16,3
228,Cisgender woman,waiting,experienced,18,winner,10,0,start,28,18,36,17,4
229,Cisgender woman,waiting,experienced,17,loser,-28,1,wait,12,18,17,13,2
230,Cisgender woman,waiting,experienced,18,loser,-24,0,start,28,28,22,29,3
231,Cisgender woman,waiting,experienced,18,winner,18,0,start,26,18,35,20,4
232,Cisgender man,waiting,experienced,18,loser,-12,1,wait,29,18,19,12,3
233,Cisgender man,waiting,experienced,18,winner,20,1,wait,23,13,24,17,4
234,Cisgender woman,waiting,experienced,18,winner,11,0,start,20,12,37,13,5
235,Cisgender man,waiting,experienced,18,loser,-20,1,wait,26,14,25,20,4
236,Cisgender man,waiting,inexperienced,17,winner,13,0,start,25,11,18,10,4
237,Cisgender man,waiting,experienced,17,loser,-19,1,wait,38,11,34,13,4
238,Cisgender woman,waiting,inexperienced,18,winner,12,0,start,16,12,24,11,4
239,Cisgender woman,waiting,inexperienced,17,loser,-24,1,wait,29,23,23,26,4
240,Cisgender man,waiting,inexperienced,20,winner,14,0,start,38,16,40,15,5
241,Cisgender man,waiting,experienced,17,loser,-20,1,wait,29,20,26,23,3
242,Cisgender woman,waiting,experienced,18,winner,13,0,start,38,15,48,11,4
243,Cisgender man,waiting,experienced,18,loser,-14,1,wait,29,22,18,24,3
244,Cisgender man,waiting,experienced,17,loser,-20,1,wait,20,12,19,11,4
245,Cisgender woman,waiting,inexperienced,18,winner,16,0,start,22,12,31,12,4
246,Cisgender woman,waiting,inexperienced,17,winner,15,0,start,27,13,38,19,4
247,Cisgender man,waiting,experienced,19,loser,-9,1,wait,31,29,36,30,4
248,Cisgender man,waiting,experienced,18,winner,18,1,wait,35,13,38,11,4
249,Cisgender man,waiting,experienced,18,loser,-17,0,start,30,14,29,21,4
250,Cisgender woman,waiting,inexperienced,18,winner,15,0,start,33,14,42,16,4
251,Cisgender man,waiting,experienced,18,loser,-19,1,wait,39,13,27,20,2
252,Cisgender woman,waiting,inexperienced,18,loser,-29,0,start,21,21,20,22,3
253,Cisgender man,waiting,experienced,18,winner,22,0,start,38,20,45,26,5
254,Cisgender woman,waiting,inexperienced,18,loser,-27,0,start,32,34,34,40,4
255,Cisgender woman,waiting,experienced,18,winner,12,0,start,20,12,24,12,4
